               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.039314,            0.018212,            0.009313,             0.84514,             0.72381,             0.82933,             0.54928,            0.013401,           0.0048744,           0.0043418,           0.0019138,           0.0019138,            0.064214
                  54,            0.039812,            0.019291,           0.0090936,             0.84847,             0.99067,             0.95375,             0.61457,           0.0098224,           0.0048978,           0.0041627,           0.0018954,           0.0018954,            0.063495
                  55,            0.044522,            0.020222,            0.012062,             0.83054,             0.99184,             0.94802,             0.55626,            0.010476,           0.0047536,           0.0041823,           0.0018753,           0.0018753,            0.062775
                  56,            0.038134,            0.019738,           0.0080715,             0.92224,             0.88211,             0.94054,              0.6197,           0.0082709,           0.0048051,           0.0043228,           0.0018534,           0.0018534,            0.062053
                  57,             0.04231,            0.020918,            0.008625,             0.85139,             0.99631,             0.94193,             0.63425,            0.008581,            0.004682,           0.0042835,           0.0018299,           0.0018299,             0.06133
                  58,            0.038456,            0.018994,            0.011141,             0.88039,             0.97153,             0.94243,             0.62371,           0.0097118,           0.0045102,           0.0043247,           0.0018049,           0.0018049,            0.060605
                  59,            0.039129,            0.022453,           0.0091929,             0.86756,             0.98926,             0.94243,             0.58278,           0.0090021,           0.0044637,           0.0041512,           0.0017785,           0.0017785,            0.059878
                  60,            0.043532,            0.020778,            0.007873,             0.93392,             0.99234,             0.95354,             0.62973,           0.0097605,           0.0043925,           0.0034108,           0.0017506,           0.0017506,            0.059151
                  61,            0.030646,            0.018382,           0.0077491,             0.94633,              0.9587,             0.95354,             0.58345,            0.010676,           0.0043747,           0.0033922,           0.0017215,           0.0017215,            0.058421
                  62,            0.030665,            0.019476,           0.0056521,             0.93343,              0.9061,             0.95354,             0.63682,           0.0097612,           0.0044651,           0.0037056,           0.0016911,           0.0016911,            0.057691
                  63,             0.03624,            0.017952,           0.0079437,             0.81884,             0.92908,              0.9306,             0.55617,           0.0096176,           0.0046462,           0.0037097,           0.0016596,           0.0016596,             0.05696
                  64,            0.039234,            0.019254,           0.0063057,             0.87752,             0.93557,             0.96056,             0.59428,           0.0088312,           0.0047519,            0.003749,           0.0016271,           0.0016271,            0.056227
                  65,            0.037345,            0.019074,           0.0068748,             0.93893,              0.7801,             0.95975,             0.56339,           0.0088494,           0.0047925,           0.0029923,           0.0015937,           0.0015937,            0.055494
                  66,            0.037851,            0.019766,           0.0085635,             0.91148,             0.95169,             0.98463,             0.61074,           0.0087042,           0.0048603,           0.0029763,           0.0015594,           0.0015594,            0.054759
                  67,            0.040665,            0.020478,            0.011537,             0.93838,             0.84542,             0.94257,             0.56253,           0.0095217,           0.0048104,           0.0034177,           0.0015244,           0.0015244,            0.054024
                  68,            0.024762,            0.016515,           0.0045047,             0.94153,             0.86593,             0.91808,             0.53774,           0.0081981,           0.0047322,           0.0033653,           0.0014888,           0.0014888,            0.053289
                  69,            0.037176,            0.020568,           0.0084858,             0.93821,             0.87327,             0.91595,             0.57538,           0.0088074,           0.0046764,           0.0034111,           0.0014526,           0.0014526,            0.052553
                  70,            0.032126,             0.01699,           0.0058145,             0.93977,             0.88571,             0.94417,             0.59571,           0.0083246,           0.0045939,           0.0031903,           0.0014161,           0.0014161,            0.051816
